Date,Title,Option1,Option2,Vote1,Trade1,TradingVolume,Voters,MarketLink,AssetsLink
12/18/25,Tits vs Ass,Tits,Ass,27,7,750700,96,https://alpha.factmachine.com/market/m3qxm10t9tb8hyxf9kp3dyk42,
12/19/25,Israel vs Palestine,Israel,Palestine,40,12,1100000,106,https://alpha.factmachine.com/market/pu2qibkq2h7owlnt41s40guo9,
12/20/25,Closer with Epstein: Trump or Clinton?,Trump,Clinton,37,4,1200000,95,https://alpha.factmachine.com/market/s8bp8nr8w33tesubtiauy55l1,
12/21/25,Was the 2020 Election Rigged?,Yes,No,52,16,1700000,118,https://alpha.factmachine.com/market/vmz9vtyd3mss0ihxzp56txlmi,
12/22/25,Can Money Buy Happiness?,Yes,No,75,60,1100000,119,https://alpha.factmachine.com/market/nagz556qpkm6soieh2snaticc,
12/23/25,Net Impact of Immigration in the US: Positive or Negative,Positive,Negative,57,38,1200000,107,https://alpha.factmachine.com/market/bgiryc9zkdu6447goplktr9hw,
12/24/25,Are Elves Slave Labor?,Yes,No,80,62,852700,93,https://alpha.factmachine.com/market/r913nb8r5od5otzjtnprd0zd2,
12/25/25,Is God Real?,Yes,No,77,89,787200,98,https://alpha.factmachine.com/market/puwjpukw6pv6xi4dwvdycftov,
12/26/25,Hotter: Anne Hathaway vs Ana De Armas,Anne Hathaway,Ana De Armas,41,17,1300000,101,https://alpha.factmachine.com/market/qm15jwyv6ph2ddm8jpjkcqat7,
12/27/25,LeBron James vs Michael Jordan,LeBron,Jordan,26,14,2000000,97,https://alpha.factmachine.com/market/rsq8qhdvuc4ijz6ha4gjt3xv9,
12/28/25,Was 9/11 an Inside Job?,Yes,No,80,94,1600000,88,https://alpha.factmachine.com/market/ckyc5ifgfw842l6ntqfc7qts8,
12/29/25,Weed vs Alcohol,Weed,Alcohol,64,83,1700000,97,https://alpha.factmachine.com/market/dq4f1zdp1hm88s5d0swv0zc1d,
12/30/25,Messi vs Ronaldo,Messi,Ronaldo,81,96,1600000,88,https://alpha.factmachine.com/market/diqf4gq0dx4p1yxcusxbm9mfs,
12/31/25,Option 1 vs Option 2,Option 1,Option 2,46,5,2900000,94,https://alpha.factmachine.com/market/sub70nvjttmbqzr3oy5cfmblj,
1/26/26,Should Greenland be a part of the United States?,Yes,No,52,71,1400000,142,https://alpha.factmachine.com/market/s8ixqsaziuzwpwwoi2lan2jg7,
1/27/26,Is Zohran Mamdani's Wife Hot?,Yes,No,59,81,1400000,140,https://alpha.factmachine.com/market/ocv2y12nxhux9sndu3hfkorzs,
1/28/26,Is ICE Making America Safer?,Yes,No,39,4,1300000,125,https://alpha.factmachine.com/market/xm5iy4grnx3itp248s8lx994a,
1/29/26,Circumcised vs Uncircumcised?,Circumcised,Uncircumcised,63,98,1100000,123,https://alpha.factmachine.com/market/kjewjurawj0yhp61pv5eoszjq,
1/30/26,Hotter: Ana de Armas vs Margot Robbie,Ana de Armas,Margot Robbie,48,72,1600000,120,https://alpha.factmachine.com/market/cp8rqtztswx0bwkgn955k7f27,
1/31/26,Is Donald Trump a Good President?,Yes,No,41,26,2000000,107,https://alpha.factmachine.com/market/a5r2y2ewaw3370bqn3cdjqppj,
2/2/26,Should Sex Work be Legal?,Yes,No,83,97,1700000,140,https://alpha.factmachine.com/market/cc9y1t4fhhts2wcjkuzp2kbso,
2/3/26,Has America Peaked?,Yes,No,55,70,1800000,135,,
2/4/26,Who Will Live Longer?,Xi,Putin,72,93,1800000,129,,
2/5/26,Hotter: Sydney Sweeney vs Sabrina Carpenter,Sydney,Sabrina,85,98,1600000,120,,
2/6/26,Which Came First?,Chicken,Egg,55,24,3500000,117,,
2/16/26,Is Ghosting Acceptable?,Yes,No,58,87,1200000,130,,
2/17/26,Anthropic at $380B: Overvalued or Undervalued,Overvalued,Undervalued,46,7,1200000,136,,
2/18/26,Is ignoring the Foids while munting and mogging Moids more useful than SMV chadfishing in the club?,Yes,No,71,88,1800000,119,,
2/19/26,Doubles Luge: Bottom or Top?,Bottom,Top,64,81,1400000,114,,
2/20/26,Trolley Problem: Pull or Don't Pull?,Pull,Don't Pull,74,70,2000000,114,,
2/23/26,US Military Intervention in Iran: Good or Bad?,Good,Bad,49,85,1700000,138,,
2/24/26,Future Impact of AI: Positive or Negative?,Positive,Negative,69,71,933000,121,,
2/25/26,Who's Hurt More by Tariffs: US Consumers or Foreign Countries,US Consumers,Foreign Countries,73,88,1700000,101,,
2/26/26,Hotter: Donald Trump vs Elon Musk,Donald Trump,Elon Musk,31,31,2100000,106,,
2/27/26,$250k or 50% Chance at $1M,Take $250k,Chance $1M,39,55,2000000,92,,
3/3/26,Does Israel Control the United States?,Yes,No,49,38,3100000,153,,
